article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
663774001,663774,ES GREENLAND SWEATER,252,Sweater,Garment Upper body,1010008,Front print,7,Grey,1,Dusty Light,12,Grey,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,Fine-knit jumper in soft cotton with a broderie anglaise collar and an opening with a button at the back of the neck. Longer layer in woven fabric at the hem.
671973001,671973,ANDERS LS POLO,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Polo shirt in cotton piqué with a ribbed collar, button placket, long sleeves with ribbed trims, and slits in the sides. Slightly longer at the back. Regular Fit."
672126001,672126,SKINNY LAUREN BLING,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Slim-fit, ankle-length jeans in washed stretch denim with an adjustable, elasticated waist (in sizes 8-12Y), zip fly and button, fake front pockets and real back pockets. Legs with sequined stripes down the sides and narrow hems."
676166001,676166,Anda,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Long sweatshirt in a soft cotton blend with low dropped shoulders and long sleeves.
676754001,676754,CARLA set,255,T-shirt,Garment Upper body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Set with a long-sleeved top and leggings in soft, organic cotton jersey. Top with a round neckline and rounded hem. Slightly longer at the back. Leggings with an elasticated waist and sewn-in creases at the front."
681002001,681002,Robbie Cardigan,245,Cardigan,Garment Upper body,1010010,Melange,8,Dark Grey,2,Medium Dusty,12,Grey,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Cardigan in a soft rib knit with a V-neck, buttons down the front and wide ribbing at the cuffs and hem."
681963001,681963,Skinny Carrot No Fade Black,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,19,Green,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in stretch denim with a regular waist, button fly and skinny, tapered legs."
686070001,686070,R-neck Chevron,252,Sweater,Garment Upper body,1010022,Jacquard,73,Dark Blue,4,Dark,2,Blue,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Long-sleeved jumper in a jacquard-knit viscose blend with ribbing around the neckline, cuffs and hem."
686353001,686353,LOGG Girona throwon.,262,Jacket,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1929,Outwear,A,Ladieswear,1,Ladieswear,2,H&M+,1007,Outdoor,"Coat in a soft, marled wool blend with notch lapels, concealed press-studs down the front and large patch front pockets. Unlined."
693994001,693994,Stand up skirt,275,Skirt,Garment Lower body,1010001,All over pattern,11,Off White,3,Light,9,White,1948,Trousers & Skirt,A,Ladieswear,1,Ladieswear,18,Womens Trend,1009,Trousers,Calf-length skirt in a viscose weave with buttons down the front and side pockets. Lined.
701362001,701362,Maja Lurex,245,Cardigan,Garment Upper body,1010009,Glittering/Metallic,9,Black,4,Dark,5,Black,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Cardigan in a soft, fine knit containing glittery threads with slits in the sides and no buttons."
703304001,703304,NINA 2p dress,265,Dress,Garment Full body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Dresses in soft organic cotton jersey with narrow shoulder straps and a gathered seam at the waist. One patterned.
713783001,713783,Mara off shoulder dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, off-the-shoulder dress in ribbed jersey with a V-neck front and back, long sleeves, a seam at the waist and a flared skirt."
715027001,715027,3P SS T-shirt girly,255,T-shirt,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Tops in soft organic cotton jersey with a decorative scalloped trim around the neckline, a concealed press-stud on one shoulder and short puff sleeves with a decorative scalloped trim."
715522001,715522,Basic Multiset SS,270,Garment Set,Garment Full body,1010001,All over pattern,7,Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Set with two bodysuits, two pairs of leggings, a romper suit and a scarf in soft cotton jersey. Bodysuits with short sleeves and press-studs on one shoulder and at the crotch. Leggings with an elasticated waist. Romper suit with long sleeves, front pockets and press-studs down the front and along one leg. Scarf with press-studs at the back of the neck."
716833001,716833,Lisa leo jacket,262,Jacket,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1241,Outwear & Blazers,A,Ladieswear,1,Ladieswear,18,Womens Trend,1008,Dressed,"Short, straight-cut, quilted coat in a patterned viscose weave with a yoke at the back and on the shoulders. Long, wide sleeves with a seam at the cuffs, a concealed drawstring at the waist and no fasteners. Light padding."
717171001,717171,Lake Hairy Off Shoulder,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Boxy jumper in a soft, fluffy knit with a large collar, dropped shoulders, long raglan sleeves and ribbing at the cuffs and hem."
720106001,720106,PALM SHAWL COLLAR CARDIGAN,245,Cardigan,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,5878,Knitwear,F,Menswear,3,Menswear,20,Contemporary Smart,1003,Knitwear,"Cardigan knitted in a soft cotton blend with a ribbed shawl collar, buttons down the front, welt side pockets, long sleeves and ribbing at the cuffs and hem."
737264001,737264,Ebba,265,Dress,Garment Full body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Knee-length dress in soft ribbed jersey with a deep V-neck with a twisted detail at the front for a draped look. Short sleeves, a seam under the bust and wrapover skirt."
739246001,739246,Nellika romper,267,Jumpsuit/Playsuit,Garment Full body,1010016,Solid,41,Light Red,7,Medium,18,Red,6526,Baby Girl Knitwear,G,Baby Sizes 50-98,4,Baby/Children,40,Baby Girl,1003,Knitwear,"Short, sleeveless romper suit in a fine-knit linen and cotton blend with shoulder straps, a double row of flounces at the top, buttons at the back and elasticated hems."
739907002,739907,TARA raglan,252,Sweater,Garment Upper body,1010022,Jacquard,51,Light Pink,1,Dusty Light,4,Pink,7618,Kids Girl Knitwear,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1003,Knitwear,"Jumper in a soft jacquard knit with a brushed finish. Long raglan sleeves, and ribbing around the neckline, cuffs and hem."
742191001,742191,Prime skinny blz,264,Blazer,Garment Upper body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,8615,Blazer S&T,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1008,Dressed,"Single-breasted jacket in woven fabric with narrow notch lapels, a chest pocket, welt front pockets and an inner pocket. One button at the front, decorative buttons at the cuffs and a single back vent. Lined. Skinny Fit – a slightly shorter style that shapes in at the chest and tapers sharply at the waist. This, combined with narrow shoulders and sleeves, creates a completely fitted silhouette."
746823001,746823,HIROKO cardigan,245,Cardigan,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,"Cardigan in a soft knit with gently dropped shoulders, long sleeves, patch front pockets, and narrow ribbing at the cuffs and hem. No buttons."
749801001,749801,Bonnie Woven Slacks,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Ankle-length trousers in woven fabric with a high paper bag waist that is elasticated at the back, a detachable tie belt, side pockets and gently tapered legs."
751506001,751506,SKINNY LINED,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Fully lined, slim-fit jeans in washed, stretch denim with fake front pockets, real back pockets and narrow hems. Adjustable, elasticated waist (in sizes 8-12Y) and a zip fly with a button."
754637001,754637,&denim Embrace HW trash Petite,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1774,OL Extended Sizes,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, superstretch denim that moulds to the body for a comfortable and flattering fit. High waist, zip fly and slim legs with hard-worn details and raw edges at the hems."
763200004,763200,BEN crewneck SB 2-p,252,Sweater,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Long-sleeved tops in sweatshirt fabric made from an organic cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside."
763763001,763763,Golden playsuit,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Sleeveless playsuit in a gently draping weave with a slight sheen. Small stand-up collar, a V-shaped opening at the top, a yoke with a pleat at the back and concealed buttons down the front. Elasticated seam and a soft, detachable belt with D-rings at the waist. Short slits at the hems."
765558001,765558,Sesame dress,265,Dress,Garment Full body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,6526,Baby Girl Knitwear,G,Baby Sizes 50-98,4,Baby/Children,40,Baby Girl,1003,Knitwear,"Long-sleeved dress in soft, jacquard-knit cotton with a round neck, flounces down the front, and buttons at the back of the neck. Seam at the waist and a gently flared skirt."
768328002,768328,Hampstead slim pin stripe blz,264,Blazer,Garment Upper body,1010017,Stripe,8,Dark Grey,4,Dark,12,Grey,5131,Blazer,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1008,Dressed,"Single-breasted jacket woven in a viscose blend with narrow notch lapels, a decorative buttonhole and two buttons at the front. Chest pocket, front pockets and three inner pockets, one with a button. Decorative buttons at the cuffs and a double back vent. Lined. Slim Fit – a fit that tapers at the chest and waist which, combined with slightly narrower sleeves, creates a fitted silhouette."
772130001,772130,dungaree dress set new,270,Garment Set,Garment Full body,1010012,Mixed solid/pattern,41,Light Red,7,Medium,18,Red,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Dungaree dress and bodysuit in organic cotton. Dress in sweatshirt fabric with a kangaroo pocket and adjustable straps with press-stud fasteners. Soft brushed inside. Short-sleeved body in patterned jersey with an embroidered lace trim around the neckline and sleeves, and press-studs at the shoulder and crotch."
774003001,774003,Missy wide trouser,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Trousers in woven fabric with a high waist, detachable belt, concealed zip in one side, side pockets and straight, wide legs with creases."
774343001,774343,St Bernard jacquard blazer,264,Blazer,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Fitted jacket in a jacquard weave with a sheen. Notch lapels and a fastening with one button at the front. Chest pocket, jetted front pockets and a single back vent. Lined."
786702001,786702,SHIRT WESTERN FRILL 79,258,Blouse,Garment Upper body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,7917,Kids Girl Denim,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1016,Trousers Denim,Shirt in washed cotton denim with a collar and flounced trim around the yoke and shoulders. Press-studs down the front and long sleeves with narrow elastication at the cuffs. Gently rounded and slightly longer at the back.
801443001,801443,David supersoft stretch 5-Pkt,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7656,Kids Boy Trouser,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1009,Trousers,"5-pocket trousers in stretch, supersoft twill with an adjustable, elasticated waist, zip fly and button and straight hems."
805321001,805321,Queen PU Kickflare,272,Trousers,Garment Lower body,1010018,Treatment,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length trousers in imitation leather with a high waist, concealed zip in one side and straight-cut legs with raw-edge hems."
805968001,805968,Suella Blazer,264,Blazer,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Jacket in woven fabric with a sheen. Notch lapels, concealed press-studs at the front, shoulder pads and long sleeves with a slit at the cuffs. Tapered waist, discreet front pockets and a single back vent. Lined."
815092001,815092,REMMEY REG HOODIE,308,Hoodie,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5833,Heavy Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Top in cotton sweatshirt fabric with a lined drawstring hood with a wrapover front. Long sleeves, a kangaroo pocket and ribbing at the cuffs and hem."
